Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
Ac,,,,,Activities,,
Co,,,,,Complexes,,
EF,,,,,Elements/ functions,,
En,,,,,Entities,,
FI,,,,,Form of Information,,
PM,,,,,Project Management,,
Pr,,,,,Products,,
SL,,,,,Spaces/ locations,,
Ss,,,,,Systems,,
TE,,,,,Tools and Equipment,,
Zz,,,,,CAD,,
Ro,,,,,Roles,,
Ac_05,05,,,,Project management activities,,
Ac_05_00,05,00,,,Strategy stage activities,,
Ac_05_00_10,05,00,10,,Business case development,,
Ac_05_00_80,05,00,80,,Strategic brief preparation,,
Ac_05_00_82,05,00,82,,Strategic brief submission,,
Ac_05_10,05,10,,,Brief stage activities,,
Ac_05_10_15,05,10,15,,Cost estimate preparation,,
Ac_05_10_17,05,10,17,,Cost estimate submission,,
Ac_05_10_29,05,10,29,,Feasibility study preparation,,
Ac_05_10_31,05,10,31,,Feasibility study submission,,
Ac_05_10_61,05,10,61,,Preliminary design preparation,,
Ac_05_10_63,05,10,63,,Preliminary design submission,,
Ac_05_10_65,05,10,65,,Project brief and objectives preparation,,
Ac_05_10_67,05,10,67,,Project brief and objectives submission,,
Ac_05_20,05,20,,,Concept stage activities,,
Ac_05_20_15,05,20,15,,Concept cost report preparation,,
Ac_05_20_17,05,20,17,,Concept cost report submission,,
Ac_05_20_21,05,20,21,,Concept design development,,
Ac_05_20_23,05,20,23,,Concept design report preparation,,
Ac_05_20_25,05,20,25,,Concept design report submission,,
Ac_05_30,05,30,,,Definition stage activities,,
Ac_05_30_03,05,30,03,,Agreement negotiating,,
Ac_05_30_10,05,30,10,,Building regulation assessing,,
Ac_05_30_21,05,30,21,,Definition design cost report preparation,,
Ac_05_30_23,05,30,23,,Definition design cost report submission,,
Ac_05_30_25,05,30,25,,Definition design development,,
Ac_05_30_27,05,30,27,,Definition design report preparation,,
Ac_05_30_28,05,30,28,,Definition design submission,,
Ac_05_30_29,05,30,29,,Drainage adoption agreeing,,
Ac_05_30_37,05,30,37,,Highways adoption agreeing,,
Ac_05_30_60,05,30,60,,Party wall notices agreeing,,
Ac_05_30_64,05,30,64,,Planning preparation,,
Ac_05_30_85,05,30,85,,Sustainability assessing,,
Ac_05_40,05,40,,,Design stage activities,,
Ac_05_40_60,05,40,60,,Prototype requesting,,
Ac_05_40_70,05,40,70,,Sample requesting,,
Ac_05_40_85,05,40,85,,Technical design cost report preparation,,
Ac_05_40_87,05,40,87,,Technical design development,,
Ac_05_40_89,05,40,89,,Technical design report preparation,,
Ac_05_40_91,05,40,91,,Technical design submission,,
Ac_05_50,05,50,,,Build and commission stage activities,,
Ac_05_50_15,05,50,15,,Contractor mobilizing,,
Ac_05_50_41,05,50,41,,Information submitting,,
Ac_05_50_43,05,50,43,,Inspecting,,
Ac_05_50_51,05,50,51,,Measuring,,
Ac_05_50_54,05,50,54,,Monitoring,,
Ac_05_50_60,05,50,60,,Prototype submission,,
Ac_05_50_70,05,50,70,,Sample submission,,
Ac_05_50_72,05,50,72,,Setting out,,
Ac_05_50_75,05,50,75,,Starting on site,,
Ac_05_50_85,05,50,85,,Tender analyzing,,
Ac_05_50_87,05,50,87,,Tender negotiating,,
Ac_05_50_89,05,50,89,,Tender recommendation reporting,,
Ac_05_50_91,05,50,91,,Timber sourcing,45-60-90/340 Timber procurement;,
Ac_05_50_97,05,50,97,,Works commencing,,
Ac_05_60,05,60,,,Handover and closeout stage activities,,
Ac_05_60_10,05,60,10,,Building contract administrating,,
Ac_05_60_15,05,60,15,,Completing,,
Ac_05_60_30,05,60,30,,Final clean,,
Ac_05_60_35,05,60,35,,Handing over,,
Ac_05_60_60,05,60,60,,Partial handing over,,
Ac_05_60_70,05,60,70,,Rectifying non-compliant items,,
Ac_05_60_80,05,60,80,,Sectional completing,,
Ac_05_70,05,70,,,Operation and end of life stage activities,,
Ac_05_70_10,05,70,10,,Building user assisting,,
Ac_05_70_48,05,70,48,,Logistics,,
Ac_10,10,,,,"Preparation, construction and repair",,
Ac_10_10,10,10,,,Deconstruction and demolition,,
Ac_10_10_20,10,10,20,,Deconstruction,10-45-20/110 Deconstruction system;,0.2.1 Demolition works (default); 7.1.1 Minor demolition and alteration works;
Ac_10_10_25,10,10,25,,Demolition,10-45-20/120 Demolition system;,8.1.1 Site clearance; 0.2.1 Demolition works (default); 7.1.1 Minor demolition and alteration works;
Ac_10_20,10,20,,,Decontamination,,
Ac_10_30,10,30,,,Site clearance,,
Ac_10_30_10,10,30,10,,Bush and scrub removal,,
Ac_10_30_15,10,30,15,,Constructed material clearance,,
Ac_10_30_80,10,30,80,,Soil removal,,
Ac_10_30_90,10,30,90,,Tree removal,,
Ac_10_40,10,40,,,Construction,,
Ac_10_40_08,10,40,08,,Bricklaying,,
Ac_10_40_11,10,40,11,,Carpentry and joinery,,
Ac_10_40_13,10,40,13,,Carpet laying,,
Ac_10_40_22,10,40,22,,Diamond drilling,,
Ac_10_40_25,10,40,25,,Ductwork installing,,
Ac_10_40_27,10,40,27,,Electrical system installing,,
Ac_10_40_30,10,40,30,,Formwork installing,,
Ac_10_40_41,10,40,41,,Internal fitting out,,
Ac_10_40_60,10,40,60,,Painting and decorating,,
Ac_10_40_63,10,40,63,,Pipe fitting,,
Ac_10_40_65,10,40,65,,Plastering and rendering,,
Ac_10_40_67,10,40,67,,Plumbing,,
Ac_10_40_88,10,40,88,,Tiling,,
Ac_10_60,10,60,,,Protection activities,,
Ac_10_60_90,10,60,90,,Tree protecting,,
Ac_10_70,10,70,,,"Remediation, repair and renovation",,
Ac_10_70_65,10,70,65,,Remediation,,
Ac_10_70_70,10,70,70,,Renovation,,
Ac_10_70_75,10,70,75,,Repair,,
Ac_10_80,10,80,,,Structure moving,,
Ac_15,15,,,,Survey activities,,
Ac_15_05,15,05,,,Aquatic surveying,,
Ac_15_05_11,15,05,11,,Canals surveying,,
Ac_15_05_15,15,05,15,,Coastal surveying,,
Ac_15_05_36,15,05,36,,Hydrological surveying,,
Ac_15_05_46,15,05,46,,Lakes and ponds surveying,,
Ac_15_05_70,15,05,70,,Reservoirs surveying,,
Ac_15_05_72,15,05,72,,Rivers and streams surveying,,
Ac_15_05_73,15,05,73,,River estuary surveying,,
Ac_15_10,15,10,,,Surveying methods,10-10-95/110 Underground services survey;,11.1.2 Other consultants' fees (default);
Ac_15_10_01,15,10,01,,Acoustic surveying,,
Ac_15_10_03,15,10,03,,Aerial surveying,,
Ac_15_10_10,15,10,10,,Borehole surveying,,
Ac_15_10_14,15,10,14,,Closed-circuit television surveying,,
Ac_15_10_22,15,10,22,,Desk top studying,10-10-45/610 Desk study for ground investigation;,
Ac_15_10_32,15,10,32,,Geophysical surveying,10-10-75/135 Geophysical survey;,11.1.2 Other consultants' fees (default); 0.3.1 Temporary support to adjacent structures; 9.2.6 Control and protection;
Ac_15_10_34,15,10,34,,Ground-penetrating radar surveying,,
Ac_15_10_70,15,10,70,,Radio frequency location surveying,,
Ac_15_10_80,15,10,80,,Satellite surveying,,
Ac_15_10_90,15,10,90,,Trial holes surveying,,
Ac_15_15,15,15,,,Building services condition surveying,10-20-75/110 Engineering services survey;,11.1.1 Project team and design team consultants' fees (default);
Ac_15_15_06,15,15,06,,Below-ground services surveying,,
Ac_15_15_08,15,15,08,,"Boilers, heating and hot water systems surveying",,
Ac_15_15_11,15,15,11,,Catering equipment surveying,,
Ac_15_15_15,15,15,15,,Cold water and water treatment systems surveying,,
Ac_15_15_16,15,15,16,,Control systems surveying,,
Ac_15_15_28,15,15,28,,Escalator and moving pavement systems surveying,,
Ac_15_15_30,15,15,30,,Fire alarm systems surveying,,
Ac_15_15_34,15,15,34,,Generators system surveying,,
Ac_15_15_47,15,15,47,,Lift installation surveying,,
Ac_15_15_48,15,15,48,,Low voltage general power electrical installations surveying,70-70-40/130 Inspection and testing of existing electrical installations;,7.2.1 Repairs to existing services (default);
Ac_15_15_71,15,15,71,,Refrigeration systems surveying,,
Ac_15_15_82,15,15,82,,Sprinkler systems surveying,,
Ac_15_15_95,15,15,95,,Ventilation and air conditioning systems surveying,,
Ac_15_20,15,20,,,Ecological and environmental surveying,,
Ac_15_20_03,15,20,03,,Animal conservation assessment surveying,40-10-06/105 Animal conservation assessment survey;,0.6.3 Other extraordinary site investigation works (default);
