Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
CA_10,10,,,,Formwork,,
CA_10_10,10,10,,,Wall and floor formwork systems,,
CA_10_10_20,10,10,20,,Face contact material,,
CA_10_10_20_07,10,10,20,07,Beam boxes,,
CA_10_10_20_24,10,10,20,24,Draw forms,,
CA_10_10_20_30,10,10,20,30,Formwork lining,,
CA_10_10_20_31,10,10,20,31,Formwork panels,,
CA_10_10_20_46,10,10,20,46,Lap plates,,
CA_10_10_20_85,10,10,20,85,Stop end forms,,
CA_10_10_20_97,10,10,20,97,Wrecking strips,,
CA_10_10_50,10,10,50,,Structural members,,
CA_10_10_50_85,10,10,50,85,Strongbacks,,
CA_10_10_50_96,10,10,50,96,Walers,,
CA_10_10_70,10,10,70,,Box out,,
CA_10_10_70_16,10,10,70,16,Core forms,,
CA_10_10_70_23,10,10,70,23,Door formers,,
CA_10_10_70_94,10,10,70,94,Void forms,,
CA_10_10_70_96,10,10,70,96,Window formers,,
CA_10_40,10,40,,,"Form laying equipment, sheets and accessories",,
CA_10_40_10,10,40,10,,Access doors and traps,,
CA_10_40_20,10,40,20,,Clamps,,
CA_10_40_20_07,10,40,20,07,Beam shutter clamps,,
CA_10_40_20_16,10,40,20,16,Column shutter clamps,,
CA_10_40_20_60,10,40,20,60,Panel clamps,,
CA_10_40_20_96,10,40,20,96,Wall shutter clamps,,
CA_10_40_30,10,40,30,,Formwork ties,,
CA_10_40_30_16,10,40,30,16,Coil ties,,
CA_10_40_30_36,10,40,30,36,Hanger ties,,
CA_10_40_30_64,10,40,30,64,Pigtail ties,,
CA_10_40_30_80,10,40,30,80,Snap ties,,
CA_10_40_30_87,10,40,30,87,Taper ties,,
CA_10_40_30_89,10,40,30,89,Tie sleeves,,
CA_10_40_30_90,10,40,30,90,Through ties,,
CA_10_40_30_96,10,40,30,96,Water bar ties,,
CA_10_40_40,10,40,40,,Keys,,
CA_10_40_50,10,40,50,,Road forms,,
CA_10_40_60,10,40,60,,Shutters/ sheeting,,
CA_10_40_70,10,40,70,,Telescopic floor centres,,
CA_10_40_80,10,40,80,,Wedges,,
CA_10_40_90,10,40,90,,Wrot,,
CA_10_60,10,60,,,Formwork sealing and cleaning products,,
CA_10_80,10,80,,,Formwork scaffolding and supports,,
CA_10_80_10,10,80,10,,Telescopic props,,
CA_20,20,,,,"Scaffolding, shoring and fencing",,
CA_20_10,20,10,,,Complete scaffolding,,
CA_20_10_10,20,10,10,,Access towers,,
CA_20_10_10_46,20,10,10,46,Ladder towers,,
CA_20_10_10_85,20,10,10,85,Stair towers,,
CA_20_10_20,20,10,20,,Mobile working towers,,
CA_20_10_30,20,10,30,,Mobile elevating work platform,,
CA_20_10_50,20,10,50,,Prefabricated scaffold,,
CA_20_10_50_31,20,10,50,31,Frame scaffold,,
CA_20_10_50_86,20,10,50,86,System scaffold,,
CA_20_10_60,20,10,60,,Scaffolding,,
CA_20_10_60_08,20,10,60,08,Bracket scaffold,,
CA_20_10_60_11,20,10,60,11,Cantilevered scaffold,,
CA_20_10_60_29,20,10,60,29,Facade scaffold,,
CA_20_10_60_31,20,10,60,31,Free standing scaffold,,
CA_20_10_60_68,20,10,60,68,Putlog scaffold,,
CA_20_10_60_85,20,10,60,85,Suspended scaffold,,
CA_20_10_60_88,20,10,60,88,Timber scaffold,,
CA_20_10_60_90,20,10,60,90,Trestle scaffold,,
CA_20_10_60_91,20,10,60,91,Tube and coupler scaffold,,
CA_20_10_80,20,10,80,,Suspended work platform,,
CA_20_30,20,30,,,Scaffolding parts,,
CA_20_30_10,20,30,10,,Access ways,,
CA_20_30_10_46,20,30,10,46,Ladders,,
CA_20_30_10_47,20,30,10,47,Landings,,
CA_20_30_10_85,20,30,10,85,Stairways,,
CA_20_30_20,20,30,20,,Cages,,
CA_20_30_30,20,30,30,,Guardrails,,
CA_20_30_30_35,20,30,30,35,Guardboards,,
CA_20_30_30_36,20,30,30,36,Handrails,,
CA_20_30_30_41,20,30,30,41,Intermediate guardrails,,
CA_20_30_30_89,20,30,30,89,Toe boards,,
CA_20_30_40,20,30,40,,Frames and framing members,,
CA_20_30_40_46,20,30,40,46,Lateral braces,,
CA_20_30_40_48,20,30,40,48,Longitudinal braces,,
CA_20_30_40_59,20,30,40,59,Outriggers,,
CA_20_30_40_64,20,30,40,64,Plan braces,,
CA_20_30_40_68,20,30,40,68,Putlogs,,
CA_20_30_40_85,20,30,40,85,Standards,,
CA_20_30_40_90,20,30,40,90,Transoms,,
CA_20_30_50,20,30,50,,Scaffold fittings,,
CA_20_30_50_03,20,30,50,03,Anchorages,,
CA_20_30_50_06,20,30,50,06,Base plates,,
CA_20_30_50_28,20,30,50,28,Expanding spigots,,
CA_20_30_50_48,20,30,50,48,Loose spigots,,
CA_20_30_50_60,20,30,50,60,Parallel couplers,,
CA_20_30_50_68,20,30,50,68,Putlog clips,,
CA_20_30_50_72,20,30,50,72,Right angle couplers,,
CA_20_30_50_80,20,30,50,80,Sleeve couplers,,
CA_20_30_50_86,20,30,50,86,Swivel couplers,,
CA_20_30_50_88,20,30,50,88,Tie members,,
CA_20_30_60,20,30,60,,Stabilisers,,
CA_20_30_60_06,20,30,60,06,Ballast,,
CA_20_30_70,20,30,70,,Protection screens,,
CA_20_30_70_78,20,30,70,78,Sheeting,,
CA_20_30_80,20,30,80,,Work platforms,,
CA_20_30_80_01,20,30,80,01,Adjustable platforms,,
CA_20_50,20,50,,,"Shoring, planking and strutting",,
CA_20_50_10,20,50,10,,Adjustable struts,,
CA_20_50_20,20,50,20,,Baulk timber,,
CA_20_50_30,20,50,30,,Dogs,,
CA_20_50_40,20,50,40,,Folding wedges,,
CA_20_50_50,20,50,50,,Needles,,
CA_20_50_60,20,50,60,,Planking/ strutting timber,,
CA_20_50_70,20,50,70,,Sole plates,,
CA_20_80,20,80,,,Temporary fencing structures,,
CA_20_80_20,20,80,20,,Fencing boarding,,
CA_20_80_30,20,80,30,,Fencing chestnut,,
CA_20_80_40,20,80,40,,Fencing panels,,
CA_20_80_50,20,80,50,,Fencing supports,,
CA_20_80_80,20,80,80,,Temporary hoardings,,
CA_20_80_80_28,20,80,80,28,External,,
CA_20_80_80_41,20,80,80,41,Internal,,
CA_20_90,20,90,,,Tube straightening equipment,,
CA_30,30,,,,Lifting appliances and conveyors,,
CA_30_10,30,10,,,Cranes,,
CA_30_10_10,30,10,10,,Crane structures,,
CA_30_10_10_01,30,10,10,01,Aerial crane,,
CA_30_10_10_03,30,10,10,03,All terrain (AT) cranes,,
CA_30_10_10_18,30,10,10,18,Crawler cranes,,
CA_30_10_10_30,30,10,10,30,Floating cranes,,
CA_30_10_10_44,30,10,10,44,Jib crane,,
CA_30_10_10_47,30,10,10,47,Level luffing cranes,,
CA_30_10_10_52,30,10,10,52,Mounted cranes,,
CA_30_10_10_70,30,10,10,70,Railroad cranes,,
CA_30_10_10_74,30,10,10,74,Rough terrain (RT) cranes,,
CA_30_10_10_76,30,10,10,76,Self-erecting cranes,,
CA_30_10_10_78,30,10,10,78,Sidelift cranes,,
CA_30_10_10_88,30,10,10,88,Telescopic cranes,,
CA_30_10_10_89,30,10,10,89,Tower cranes,,
CA_30_10_10_91,30,10,10,91,Turret cranes,,
CA_30_10_50,30,10,50,,Crane equipment,,
CA_30_10_50_15,30,10,50,15,Concrete skips,,
CA_30_10_50_22,30,10,50,22,Demolition balls,,
CA_30_10_50_28,30,10,50,28,Excavating crane grabs,,
CA_30_10_50_71,30,10,50,71,Rehandling crane grabs,,
CA_30_10_50_74,30,10,50,74,Rubbish buckets,,
CA_30_10_50_88,30,10,50,88,Tipping buckets,,
CA_30_10_50_89,30,10,50,89,Tower crane track,,
CA_30_20,30,20,,,Construction lifts,,
CA_30_20_10,30,20,10,,Bottom/ landing gates,,
CA_30_20_40,30,20,40,,Lift cages,,
CA_30_20_50,30,20,50,,Lifting mechanisms,,
CA_30_20_60,30,20,60,,Lift platforms,,
CA_30_20_80,30,20,80,,Safety limiters,,
CA_30_30,30,30,,,Winches,,
CA_30_30_10,30,30,10,,Double drum friction winches,,
CA_30_30_70,30,30,70,,Single drum winches,,
CA_30_40,30,40,,,Hoists,,
CA_30_40_10,30,40,10,,Lorry loaders,,
CA_30_40_40,30,40,40,,Mobile hoists,,
CA_30_40_60,30,40,60,,Rack and pinion dual use hoists,,
CA_30_40_70,30,40,70,,Rack and pinion single use hoists,,
CA_30_40_80,30,40,80,,Scaffold hoists,,
CA_30_50,30,50,,,Conveyors,,
CA_30_50_10,30,50,10,,Belt conveyors,,
CA_30_50_10_03,30,50,10,03,Apron conveyors,,
CA_30_50_10_10,30,50,10,10,Bucket conveyors,,
CA_30_50_10_15,30,50,10,15,Conveyor belts,,
CA_30_50_10_29,30,50,10,29,Factory conveyors,,
CA_30_50_10_47,30,50,10,47,Link conveyors,,
CA_30_50_10_76,30,50,10,76,Screw conveyors,,
CA_30_50_10_85,30,50,10,85,Steep incline conveyors,,
CA_30_50_10_94,30,50,10,94,Vibrators for material conveying,,
CA_30_50_10_96,30,50,10,96,Weighing conveyors,,
CA_30_50_20,30,50,20,,Bucket railways,,
CA_30_60,30,60,,,Lifting platforms,,
CA_30_60_50,30,60,50,,Self propelled platforms,,
CA_30_60_60,30,60,60,,Scissor lifts,,
CA_30_60_70,30,60,70,,Telescopic platforms,,
CA_30_60_80,30,60,80,,Trailer mounted / portable platforms,,
CA_30_60_90,30,60,90,,Vehicle mounted platforms,,
CA_30_70,30,70,,,Lifting and jacking gear,,
CA_30_70_10,30,70,10,,Pipe winches,,
CA_30_70_10_33,30,70,10,33,Gantry pipe winches,,
CA_30_70_10_78,30,70,10,78,Shear legs pipe winches,,
CA_30_70_20,30,70,20,,Chain blocks,,
