Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
EF_20,20,,,,Structural elements,,
EF_20_05,20,05,,,Substructure,,
EF_20_10,20,10,,,Frames,,
EF_20_20,20,20,,,Beams,,
EF_20_30,20,30,,,Columns,,
EF_20_50,20,50,,,Bridge abutments and piers,,
EF_25,25,,,,Wall and barrier elements,,
EF_25_10,25,10,,,Walls,,
EF_25_30,25,30,,,Doors and windows,,
EF_25_55,25,55,,,Barriers,,
EF_30,30,,,,"Roofs, floor and paving elements",,
EF_30_10,30,10,,,Roofs,,
EF_30_20,30,20,,,Floors,,
EF_30_60,30,60,,,Pavements,,
EF_30_70,30,70,,,Bridge decks,,
EF_35,35,,,,Stairs and ramps,,
EF_35_10,35,10,,,Stairs,,
EF_35_20,35,20,,,Ramps,,
EF_37,37,,,,Vessel and tower elements,,
EF_37_50,37,50,,,Vessels,,
EF_45,45,,,,Flora and fauna elements,,
EF_45_10,45,10,,,Planted elements,,
EF_45_20,45,20,,,Grassed elements,,
EF_45_30,45,30,,,Fauna elements,,
EF_50,50,,,,Waste disposal functions,,
EF_50_10,50,10,,,Gas waste collection,,
EF_50_20,50,20,,,Wet waste collection,,
EF_50_30,50,30,,,Drainage collection,,
EF_50_40,50,40,,,Dry waste collection,,
EF_50_50,50,50,,,Gas waste treatment and disposal,,
EF_50_60,50,60,,,Wet waste treatment and disposal,,
EF_50_70,50,70,,,Drainage treatment and disposal,,
EF_50_75,50,75,,,Wastewater treatment and disposal,,
EF_50_80,50,80,,,Dry waste treatment and disposal,,
EF_55,55,,,,Piped supply functions,,
EF_55_05,55,05,,,Gas extraction and treatment,,
EF_55_10,55,10,,,Liquid fuel extraction and treatment,,
EF_55_15,55,15,,,Water extraction and treatment,,
EF_55_20,55,20,,,Gas supply,,
EF_55_30,55,30,,,Fire extinguishing supply,,
EF_55_40,55,40,,,Steam supply,,
EF_55_50,55,50,,,Liquid fuel supply,,
EF_55_60,55,60,,,Process liquid supply,,
EF_55_70,55,70,,,Water supply,,
EF_55_90,55,90,,,Piped solids supply,,
EF_60,60,,,,"Heating, cooling and refrigeration functions",,
EF_60_30,60,30,,,Rail and paving heating,,
EF_60_40,60,40,,,Space heating and cooling,,
EF_60_60,60,60,,,Refrigeration,,
EF_60_80,60,80,,,Drying,,
EF_65,65,,,,Ventilation and air conditioning functions,,
EF_65_40,65,40,,,Ventilation,,
EF_65_80,65,80,,,Air conditioning,,
EF_70,70,,,,Electrical power and lighting functions,,
EF_70_10,70,10,,,Electrical power generation,,
EF_70_30,70,30,,,Electricity distribution and transmission,,
EF_70_80,70,80,,,Lighting,,
EF_75,75,,,,"Communications, security, safety and protection functions",,
EF_75_10,75,10,,,Communication,,
EF_75_30,75,30,,,Signalling,,
EF_75_40,75,40,,,Security,,
EF_75_50,75,50,,,Safety and protection,,
EF_75_60,75,60,,,Environmental safety,,
EF_75_70,75,70,,,Control and management,,
EF_75_80,75,80,,,Protection,,
