Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
FI_10,10,,,,Communication,,
FI_10_10,10,10,,,Brochure/ leaflet,,
FI_10_15,10,15,,,Comment,,
FI_10_20,10,20,,,Correspondence,,
FI_10_30,10,30,,,File note,,
FI_10_50,10,50,,,Memo,,
FI_10_70,10,70,,,Request for information,,
FI_10_90,10,90,,,Technical query,,
FI_20,20,,,,Contractual,,
FI_20_05,20,05,,,Application,,
FI_20_15,20,15,,,Contract,,
FI_20_40,20,40,,,Instruction,,
FI_30,30,,,,Data set,,
FI_30_35,30,35,,,GIS dataset,,
FI_30_40,30,40,,,Information Exchange File,,
FI_30_70,30,70,,,Room data sheet,,
FI_40,40,,,,Design information,,
FI_40_10,40,10,,,Calculation,,
FI_40_75,40,75,,,Schedule or Table,,
FI_40_80,40,80,,,Specification,,
FI_50,50,,,,Financial,,
FI_50_10,50,10,,,Bills of Quantity,,
FI_50_15,50,15,,,Cost Plan,,
FI_50_40,50,40,,,Invoice,,
FI_60,60,,,,Graphical,,
FI_60_05,60,05,,,Animation file,,
FI_60_15,60,15,,,Clash rendition,,
FI_60_20,60,20,,,Drawing,,
FI_60_50,60,50,,,Model - Two dimensional,,
FI_60_55,60,55,,,Model - Three dimensional,,
FI_60_60,60,60,,,Photograph,,
FI_60_95,60,95,,,Visualization,,
FI_70,70,,,,Planning control,,
FI_70_15,70,15,,,Consent,,
FI_80,80,,,,Project planning,,
FI_80_50,80,50,,,Method statement,,
FI_80_60,80,60,,,Policy/Procedure,,
FI_80_65,80,65,,,Programme,,
FI_90,90,,,,Record information,,
FI_90_15,90,15,,,Certificate,,
FI_90_30,90,30,,,Forms,,
FI_90_50,90,50,,,Manual,,
FI_90_60,90,60,,,Plan,,
FI_90_70,90,70,,,Register,,
FI_90_75,90,75,,,Report,,
FI_90_80,90,80,,,Snagging list,,
FI_90_85,90,85,,,Survey,,
FI_90_90,90,90,,,Transmittal,,
