Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
PM_10,10,,,,Project information,,
PM_10_10,10,10,,,Project,,
PM_10_10_60,10,10,60,,Project description,00-05-70/110 Project location;,
PM_10_20,10,20,,,Client requirements,,
PM_10_20_03,10,20,03,,Appointment document,,
PM_10_20_07,10,20,07,,Brief,,
PM_10_20_09,10,20,09,,Buildability statement,,
PM_10_20_14,10,20,14,,Community and tenant liaison plan,,
PM_10_20_16,10,20,16,,Construction industry registration scheme requirements,,
PM_10_20_17,10,20,17,,Core requirements statement,,
PM_10_20_18,10,20,18,,Cost benefit analysis,,
PM_10_20_26,10,20,26,,Environmental policy,,
PM_10_20_28,10,20,28,,Exchange information requirements,00-70-70/765 Named subcontractors: Production information;,
PM_10_20_30,10,20,30,,Feasibility study,,
PM_10_20_69,10,20,69,,Quality plan,,
PM_10_20_75,10,20,75,,Stakeholder engagement plan,,
PM_10_20_82,10,20,82,,Statement of requirements,,
PM_10_20_84,10,20,84,,Statement of security requirements,,
PM_10_20_86,10,20,86,,Sustainable development engagement plan,,
PM_10_20_90,10,20,90,,Technical statement of requirements (TSOR),,
PM_10_20_92,10,20,92,,User requirement document,,
PM_10_80,10,80,,,Space management requirements,,
PM_10_80_10,10,80,10,,Accommodation and layout plan,,
PM_10_80_75,10,80,75,,Space design,,
PM_10_80_80,10,80,80,,Space plan,,
PM_10_80_85,10,80,85,,Space standard,,
PM_30,30,,,,"Site, ground and environmental information",,
PM_30_10,30,10,,,Site survey information,00-05-10/105 Site information;,
PM_30_10_15,30,10,15,,Condition survey information,,
PM_30_10_22,30,10,22,,Dimensional information,,
PM_30_10_28,30,10,28,,Existing structure information,,
PM_30_10_38,30,10,38,,Hydraulic information,,
PM_30_10_39,30,10,39,,Hydrology information,,
PM_30_10_47,30,10,47,,Land registration information,,
PM_30_10_58,30,10,58,,Mapping information,,
PM_30_10_76,30,10,76,,Scan survey information,,
PM_30_10_80,30,10,80,,Site boundary information,,
PM_30_10_93,30,10,93,,Utilities and services survey information,00-05-10/115 Utilities and services survey;,
PM_30_20,30,20,,,Ground investigation reports,00-05-10/120 Ground information;,
PM_30_20_02,30,20,02,,Archaeological survey report,,
PM_30_20_10,30,20,10,,Geological survey report,,
PM_30_20_17,30,20,17,,Contaminated land survey report,,
PM_30_20_24,30,20,24,,Underground services survey report,,
PM_30_20_33,30,20,33,,Geotechnical survey report,,
PM_30_20_35,30,20,35,,Ground investigation report,00-05-10/125 Ground investigation report;,
PM_30_20_46,30,20,46,,Land quality assessment report,,
PM_30_20_89,30,20,89,,Topographic survey report,,
PM_30_30,30,30,,,Environmental information,00-05-10/130 Environmental information;,
PM_30_30_10,30,30,10,,Carbon calculation report,,
PM_30_30_15,30,30,15,,Coastal model,,
PM_30_30_23,30,30,23,,Drainage model,,
PM_30_30_25,30,30,25,,Ecology survey report,00-05-10/135 Ecology survey report;,
PM_30_30_26,30,30,26,,Environmental action report,,
PM_30_30_27,30,30,27,,Environmental impact report,00-60-70/190 Environmental assessment information;,
PM_30_30_28,30,30,28,,Environmental survey report,,
PM_30_30_29,30,30,29,,Flood risk assessment report,,
PM_30_30_30,30,30,30,,Flood forecasting model,,
PM_30_30_32,30,30,32,,Fluvial flow model,,
PM_30_30_39,30,30,39,,Hydrological model,,
PM_30_30_41,30,30,41,,Integrated catchment model,,
PM_30_30_58,30,30,58,,Operational waste management plan,,
PM_30_30_65,30,30,65,,Pluvial flow model,,
PM_30_30_72,30,30,72,,Road safety audit report,,
PM_30_30_75,30,30,75,,Seismic survey report,,
PM_30_30_85,30,30,85,,Sustainability information,00-60-70/180 Sustainability assessment information;,
PM_30_30_87,30,30,87,,Tidal information,,
