Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
TE_10,10,,,,Formwork,,
TE_10_10,10,10,,,Wall and floor formwork systems,,
TE_10_10_20,10,10,20,,Face contact material,,
TE_10_10_20_07,10,10,20,07,Beam boxes,,
TE_10_10_20_24,10,10,20,24,Draw forms,,
TE_10_10_20_30,10,10,20,30,Formwork lining,,
TE_10_10_20_31,10,10,20,31,Formwork panels,,
TE_10_10_20_46,10,10,20,46,Lap plates,,
TE_10_10_20_85,10,10,20,85,Stop end forms,,
TE_10_10_20_97,10,10,20,97,Wrecking strips,,
TE_10_10_50,10,10,50,,Structural members,,
TE_10_10_50_85,10,10,50,85,Strongbacks,,
TE_10_10_50_96,10,10,50,96,Walers,,
TE_10_10_70,10,10,70,,Box-outs,,
TE_10_10_70_16,10,10,70,16,Core forms,,
TE_10_10_70_23,10,10,70,23,Door formers,,
TE_10_10_70_94,10,10,70,94,Void forms,,
TE_10_10_70_96,10,10,70,96,Window formers,,
TE_10_40,10,40,,,"Form laying equipment, sheets and accessories",,
TE_10_40_10,10,40,10,,Access doors and traps,,
TE_10_40_20,10,40,20,,Clamps,,
TE_10_40_20_07,10,40,20,07,Beam shutter clamps,,
TE_10_40_20_16,10,40,20,16,Column shutter clamps,,
TE_10_40_20_60,10,40,20,60,Panel clamps,,
TE_10_40_20_96,10,40,20,96,Wall shutter clamps,,
TE_10_40_30,10,40,30,,Formwork ties,,
TE_10_40_30_16,10,40,30,16,Coil ties,,
TE_10_40_30_36,10,40,30,36,Hanger ties,,
TE_10_40_30_64,10,40,30,64,Pigtail ties,,
TE_10_40_30_80,10,40,30,80,Snap ties,,
TE_10_40_30_87,10,40,30,87,Taper ties,,
TE_10_40_30_89,10,40,30,89,Tie sleeves,,
TE_10_40_30_90,10,40,30,90,Through ties,,
TE_10_40_30_96,10,40,30,96,Water bar ties,,
TE_10_40_40,10,40,40,,Keys,,
TE_10_40_50,10,40,50,,Road forms,,
TE_10_40_60,10,40,60,,Shutters/ sheeting,,
TE_10_40_70,10,40,70,,Telescopic floor centres,,
TE_10_40_80,10,40,80,,Wedges,,
TE_10_40_90,10,40,90,,Wrot,,
TE_10_60,10,60,,,Formwork sealing and cleaning products,,
TE_10_80,10,80,,,Formwork scaffolding and supports,,
TE_10_80_10,10,80,10,,Telescopic props,,
TE_20,20,,,,"Scaffolding, access, shoring and fencing",,
TE_20_10,20,10,,,Complete scaffolding,,
TE_20_10_10,20,10,10,,Access towers,,
TE_20_10_10_46,20,10,10,46,Ladder towers,,
TE_20_10_10_85,20,10,10,85,Stair towers,,
TE_20_10_20,20,10,20,,Mobile working towers,,
TE_20_10_30,20,10,30,,Mobile elevating work platform,,
TE_20_10_50,20,10,50,,Prefabricated scaffold,,
TE_20_10_50_31,20,10,50,31,Frame scaffold,,
TE_20_10_50_86,20,10,50,86,System scaffold,,
TE_20_10_60,20,10,60,,Scaffolding,,
TE_20_10_60_08,20,10,60,08,Bracket scaffold,,
TE_20_10_60_11,20,10,60,11,Cantilevered scaffold,,
TE_20_10_60_29,20,10,60,29,Facade scaffold,,
TE_20_10_60_31,20,10,60,31,Free standing scaffold,,
TE_20_10_60_68,20,10,60,68,Putlog scaffold,,
