Code,Group,Sub group,Section,Object,Title,NRM
Co_20,20,,,,"Administrative, commercial and protective service complexes",
Co_20_10,20,10,,,Legislative complexes,
Co_20_10_60,20,10,60,,Governmental complexes,
Co_20_15,20,15,,,Administrative complexes,
Co_20_15_08,20,15,08,,Business parks,
Co_20_15_58,20,15,58,,Office complexes,
Co_20_20,20,20,,,Secular representative complexes,
Co_20_20_15,20,20,15,,Complexes for representatives of nation states abroad,
Co_20_20_40,20,20,40,,Local government complexes,
Co_20_20_50,20,20,50,,National government complexes,
Co_20_20_70,20,20,70,,Regional government complexes,
Co_20_45,20,45,,,Motor vehicle maintenance and fuelling complexes,
Co_20_45_50,20,45,50,,Motor vehicle fuelling and charging stations,
Co_20_45_54,20,45,54,,Motor vehicle servicing complexes,
Co_20_50,20,50,,,Commercial complexes,
Co_20_50_05,20,50,05,,Auction complexes,
Co_20_50_50,20,50,50,,Market complexes,
Co_20_50_53,20,50,53,,Mixed use complexes,
Co_20_50_60,20,50,60,,Parades of shops,
Co_20_50_71,20,50,71,,Retail parks,
Co_20_50_78,20,50,78,,Shopping complexes,
Co_20_50_94,20,50,94,,Vehicle sales complexes,
Co_20_55,20,55,,,Postal complexes,
Co_20_55_10,20,55,10,,Postal communications complexes,
Co_20_60,20,60,,,Military complexes,
Co_20_60_02,20,60,02,,Air force complexes,
Co_20_60_10,20,60,10,,Army complexes,
Co_20_60_56,20,60,56,,Navy complexes,
Co_20_65,20,65,,,Law enforcement complexes,
Co_20_65_56,20,65,56,,Law enforcement agency complexes,
Co_20_70,20,70,,,Judicial complexes,
Co_20_70_18,20,70,18,,Court complexes,
Co_20_70_65,20,70,65,,Probation complexes,
Co_20_75,20,75,,,Detention complexes,
Co_20_75_42,20,75,42,,Immigrant detention complexes,
Co_20_75_64,20,75,64,,Prison complexes,
Co_20_75_71,20,75,71,,Refugee detention complexes,
Co_20_80,20,80,,,Weapons training complexes,
Co_20_80_04,20,80,04,,Artillery firing range complexes,
Co_20_80_80,20,80,80,,Small arms firing range complexes,
Co_20_90,20,90,,,Incident support complexes,
Co_20_90_02,20,90,02,,Air and sea rescue complexes,
Co_20_90_16,20,90,16,,Coastguard stations,
Co_20_90_27,20,90,27,,Fire brigade complexes,
Co_20_90_47,20,90,47,,Lifeboat stations,
Co_20_90_53,20,90,53,,Mountain rescue complexes,
Co_25,25,,,,"Cultural, educational, scientific and information complexes",
Co_25_05,25,05,,,Commemorative complexes,
Co_25_10,25,10,,,Educational complexes,
Co_25_10_32,25,10,32,,Further education colleges,
Co_25_10_41,25,10,41,,Infant schools,
Co_25_10_45,25,10,45,,"Kindergartens, nurseries and preschools",
Co_25_10_66,25,10,66,,Primary schools,
Co_25_10_77,25,10,77,,Secondary schools,
Co_25_10_88,25,10,88,,Tertiary colleges,
Co_25_10_92,25,10,92,,Universities,
Co_25_30,25,30,,,Scientific complexes,
Co_25_30_04,25,30,04,,Astronomical observatory complexes,
Co_25_30_08,25,30,08,,Botanical gardens,
Co_25_30_45,25,30,45,,Laboratory complexes,
Co_25_30_70,25,30,70,,Research complexes,
Co_25_50,25,50,,,Exhibition complexes,
Co_25_50_03,25,50,03,,Art installations,
Co_25_50_33,25,50,33,,Galleries,
Co_25_50_34,25,50,34,,Gardens and arboretums,
Co_25_50_50,25,50,50,,Memorial complexes,
Co_25_50_52,25,50,52,,Monument complexes,
Co_25_50_54,25,50,54,,Multi-purpose exhibition complexes,
Co_25_50_55,25,50,55,,Museums,
Co_25_50_58,25,50,58,,Open-air museums,
Co_25_50_59,25,50,59,,Open-air sculpture parks,
Co_25_50_99,25,50,99,,Zoos,
Co_25_70,25,70,,,Information complexes,
Co_25_70_16,25,70,16,,Conference complexes,
Co_25_70_23,25,70,23,,Document archives,
Co_25_70_30,25,70,30,,Film archives,
Co_25_70_41,25,70,41,,Information centres,
