Code,Group,Sub group,Section,Object,Title,NRM
EF_15,15,,,,Earthworks and remediation ,
EF_15_10,15,10,,,Groundworks and earthworks,
EF_15_30,15,30,,,"Remediation, repair and renovation",
EF_20,20,,,,Structural elements,
EF_20_05,20,05,,,Substructure,
EF_20_05_30,20,05,30,,Foundations,
EF_20_10,20,10,,,Superstructure,
EF_20_10_15,20,10,15,,Composite structures,
EF_20_10_30,20,10,30,,Framed structures,
EF_20_10_50,20,10,50,,Membrane structures,
EF_20_10_75,20,10,75,,Shell structures,
EF_20_10_80,20,10,80,,Solid structures,
EF_20_50,20,50,,,Bridge structures,
EF_20_50_01,20,50,01,,Abutments,
EF_20_50_07,20,50,07,,Bearings,
EF_20_50_10,20,50,10,,Bridge decks,
EF_20_50_64,20,50,64,,Piers,
EF_20_50_82,20,50,82,,Span,
EF_25,25,,,,Wall and barrier elements,
EF_25_10,25,10,,,Walls,
EF_25_30,25,30,,,Doors and windows,
EF_25_55,25,55,,,Barriers,
EF_30,30,,,,"Roofs, floor and paving elements",
EF_30_10,30,10,,,Roofs,
EF_30_20,30,20,,,Floors,
EF_30_25,30,25,,,Ceilings and soffits,
EF_30_30,30,30,,,Decks,
EF_30_60,30,60,,,Pavements,
EF_30_60_60,30,60,60,,Pedestrian paving,
EF_30_60_95,30,60,95,,Vehicular paving,
EF_35,35,,,,Stairs and ramps,
EF_35_10,35,10,,,Stairs,
EF_35_10_30,35,10,30,,External stairs,
EF_35_10_40,35,10,40,,Internal stairs,
EF_35_20,35,20,,,Ramps,
EF_35_20_30,35,20,30,,External ramps,
EF_35_20_40,35,20,40,,Internal ramps,
EF_37,37,,,,"Tunnel, vessel and tower elements",
EF_37_16,37,16,,,Vessels and trenches,
EF_37_16_90,37,16,90,,Trenches,
EF_37_16_94,37,16,94,,Vessels,
EF_37_17,37,17,,,"Towers, chimneys and masts",
EF_37_17_15,37,17,15,,Chimneys,
EF_37_17_35,37,17,35,,Gantries,
EF_37_17_50,37,17,50,,Masts,
EF_37_17_70,37,17,70,,Pylons,
EF_37_17_90,37,17,90,,Towers,
EF_37_50,37,50,,,Tunnels and shafts,
EF_40,40,,,,"Signage, fittings, furnishings and equipment",
EF_40_10,40,10,,,Signage,
EF_40_20,40,20,,,Fittings,
EF_40_30,40,30,,,Furnishings,
EF_40_40,40,40,,,Equipment,
EF_45,45,,,,Flora and fauna elements,
EF_45_03,45,03,,,Aquatic fauna elements,
EF_45_05,45,05,,,Aquatic flora elements,
EF_45_20,45,20,,,Grass and meadow elements,
EF_45_45,45,45,,,Land fauna elements,
EF_45_90,45,90,,,"Tree, shrub and herbaceous plant elements",
EF_50,50,,,,Waste disposal functions,
EF_50_10,50,10,,,Gas waste collection,
EF_50_20,50,20,,,Wet waste collection,
EF_50_30,50,30,,,Above-ground drainage collection,
EF_50_35,50,35,,,Below-ground drainage collection,
EF_50_40,50,40,,,Dry waste collection,
EF_50_50,50,50,,,Gas waste treatment and disposal,
EF_50_60,50,60,,,Wet waste treatment and disposal,
EF_50_70,50,70,,,Drainage treatment and disposal,
EF_50_75,50,75,,,Wastewater treatment and disposal,
EF_50_80,50,80,,,Dry waste treatment and disposal,
EF_55,55,,,,Piped supply functions,
EF_55_05,55,05,,,Gas extraction and treatment,
EF_55_10,55,10,,,Liquid fuel extraction and treatment,
EF_55_15,55,15,,,Water extraction and treatment,
EF_55_20,55,20,,,Gas supply,
EF_55_30,55,30,,,Fire-extinguishing supply,
EF_55_40,55,40,,,Steam supply,
EF_55_50,55,50,,,Liquid fuel distribution supply,
EF_55_60,55,60,,,Process liquid supply,
EF_55_70,55,70,,,Water supply,
EF_55_90,55,90,,,Piped solids supply,
EF_60,60,,,,"Heating, cooling and refrigeration functions",
EF_60_30,60,30,,,Rail and paving heating,
EF_60_40,60,40,,,Space heating and cooling,
EF_60_60,60,60,,,Refrigeration,
EF_60_80,60,80,,,Drying,
EF_65,65,,,,Ventilation and air conditioning functions,
EF_65_40,65,40,,,Ventilation,
EF_65_80,65,80,,,Air conditioning,
EF_70,70,,,,Electrical power and lighting functions,
EF_70_10,70,10,,,Electrical power generation,
EF_70_30,70,30,,,Electricity distribution and transmission,
EF_70_80,70,80,,,Lighting,
EF_75,75,,,,"Communications, security, safety and protection functions",
EF_75_10,75,10,,,Communication,
EF_75_30,75,30,,,Signalling,
EF_75_40,75,40,,,Security,
EF_75_50,75,50,,,Safety and protection,
EF_75_60,75,60,,,Environmental safety,
EF_75_70,75,70,,,Control and management,
EF_75_80,75,80,,,Protection,
EF_80,80,,,,Transport functions,
EF_80_10,80,10,,,Cable transport,
EF_80_20,80,20,,,Conveyors,
EF_80_30,80,30,,,Cranes and hoists,
EF_80_50,80,50,,,Lifts,
EF_80_70,80,70,,,Rail tracks,
