Code,Group,Sub group,Section,Object,Title,NRM
En_20,20,,,,"Administrative, commercial and protective service entities",
En_20_10,20,10,,,Legislative entities,
En_20_10_45,20,10,45,,Governmental buildings,
En_20_15,20,15,,,Administrative office entities,
En_20_15_10,20,15,10,,Multiple occupation office buildings,
En_20_15_70,20,15,70,,Single occupation office buildings,
En_20_20,20,20,,,Secular representative entities,
En_20_20_10,20,20,10,,Buildings for representatives of nation states abroad,
En_20_20_40,20,20,40,,Local government buildings,
En_20_20_50,20,20,50,,National government buildings,
En_20_20_70,20,20,70,,Regional government buildings,
En_20_45,20,45,,,Motor vehicle maintenance and fuelling entities,
En_20_45_50,20,45,50,,Motor vehicle fuelling and charging entities,
En_20_45_54,20,45,54,,Motor vehicle servicing and repair entities,
En_20_50,20,50,,,Commercial entities,
En_20_50_05,20,50,05,,Auction buildings,
En_20_50_22,20,50,22,,Department stores,
En_20_50_29,20,50,29,,Financial and professional services buildings,
En_20_50_50,20,50,50,,Markets,
En_20_50_53,20,50,53,,Mixed use buildings,
En_20_50_55,20,50,55,,Motor vehicle sales entities,
En_20_50_80,20,50,80,,Shop units,
En_20_50_85,20,50,85,,Supermarkets,
En_20_50_97,20,50,97,,Wholesale buildings,
En_20_55,20,55,,,Postal communications entities,
En_20_55_65,20,55,65,,Post office buildings,
En_20_55_80,20,55,80,,Sorting office buildings,
En_20_60,20,60,,,Military entities,
En_20_60_02,20,60,02,,Air force buildings,
En_20_60_10,20,60,10,,Army buildings,
En_20_60_56,20,60,56,,Navy buildings,
En_20_65,20,65,,,Law enforcement operational entities,
En_20_65_09,20,65,09,,Police buildings,
En_20_70,20,70,,,Judicial entities,
En_20_70_40,20,70,40,,Law court buildings,
En_20_75,20,75,,,Detention entities,
En_20_75_10,20,75,10,,Detention buildings,
En_20_80,20,80,,,Weapons training ranges,
En_20_80_29,20,80,29,,Firing range buildings,
En_20_80_30,20,80,30,,Exterior firing ranges,
En_20_85,20,85,,,Security entities,
En_20_85_15,20,85,15,,Security control buildings,
En_20_85_30,20,85,30,,Security fences,
En_20_90,20,90,,,Incident support entities,
En_20_90_10,20,90,10,,Fire and rescue training buildings,
En_20_90_15,20,90,15,,Fire station buildings,
En_25,25,,,,"Cultural, educational, scientific and information entities",
En_25_05,25,05,,,Commemoration entities,
En_25_05_35,25,05,35,,Gardens of remembrance,
En_25_05_50,25,05,50,,Memorials,
En_25_05_55,25,05,55,,Monuments,
En_25_10,25,10,,,Educational entities,
En_25_10_10,25,10,10,,Preschool educational buildings,
En_25_10_20,25,10,20,,Infant educational buildings,
En_25_10_30,25,10,30,,Primary educational buildings,
En_25_10_40,25,10,40,,Secondary educational buildings,
En_25_10_50,25,10,50,,Pre-tertiary educational buildings,
En_25_10_60,25,10,60,,Tertiary educational buildings,
En_25_10_70,25,10,70,,Adult educational buildings,
En_25_30,25,30,,,Scientific and laboratory entities,
En_25_30_40,25,30,40,,Laboratory buildings,
En_25_30_50,25,30,50,,Meteorological stations,
En_25_30_60,25,30,60,,Observatory buildings,
En_25_30_66,25,30,66,,Observatory antennas,
En_25_30_70,25,30,70,,Research buildings,
En_25_30_77,25,30,77,,Seed banks,
En_25_30_90,25,30,90,,Triangulation pillars,
En_25_50,25,50,,,Exhibition entities,
En_25_50_02,25,50,02,,Art exhibition buildings,
En_25_50_04,25,50,04,,Art installations,
En_25_50_15,25,50,15,,Collection exhibition buildings,
En_25_50_29,25,50,29,,Fauna exhibition buildings,
En_25_50_30,25,50,30,,Fauna exhibition grounds,
En_25_50_31,25,50,31,,Flora exhibition buildings,
En_25_50_32,25,50,32,,Flora exhibition grounds,
En_25_50_54,25,50,54,,Multipurpose exhibition buildings,
En_25_70,25,70,,,Information entities,
En_25_70_02,25,70,02,,Archive buildings,
En_25_70_13,25,70,13,,Conference buildings,
En_25_70_42,25,70,42,,Information kiosks,
En_25_70_47,25,70,47,,Library buildings,
En_25_90,25,90,,,Worship entities,
En_25_90_30,25,90,30,,Faith worship buildings,
En_30,30,,,,Industrial entities,
En_30_10,30,10,,,Mineral extraction entities,
En_30_10_57,30,10,57,,Offshore oil and gas extraction platforms,
En_30_10_80,30,10,80,,Spoil heaps,
En_30_10_85,30,10,85,,Surface mining structures,
En_30_10_86,30,10,86,,Surface mining cuttings,
En_30_10_90,30,10,90,,Underground mining structures,
En_30_20,30,20,,,Nuclear and chemical management entities,
En_30_20_15,30,20,15,,Radioactivity waste management control buildings,
En_30_20_30,30,20,30,,High-heat-generating radioactive waste management tunnels,
En_30_20_35,30,20,35,,High-heat radioactive waste package transfer buildings,
En_30_20_45,30,20,45,,Low-heat radioactive waste package transfer buildings,
En_30_20_60,30,20,60,,Low-heat-generating radioactive waste management vault,
En_30_20_70,30,20,70,,Radioactivity decontamination buildings,
En_30_20_75,30,20,75,,Radioactivity effluent management buildings,
En_30_30,30,30,,,Mineral processing entities,
En_30_30_33,30,30,33,,Gas processing structures,
En_30_30_58,30,30,58,,Oil processing structures,
En_30_30_59,30,30,59,,Ore processing structures,
En_30_40,30,40,,,Animal and plant products processing entities,
En_30_40_01,30,40,01,,Animal processing buildings,
En_30_40_20,30,40,20,,Crop processing buildings,
En_30_40_30,30,40,30,,Fish processing buildings,
En_30_40_40,30,40,40,,Horticultural processing buildings,
En_30_40_90,30,40,90,,Timber processing buildings,
En_30_50,30,50,,,Manufacturing entities,
En_30_50_15,30,50,15,,Cranes,
En_30_50_50,30,50,50,,Manufacturing buildings,
En_30_60,30,60,,,Cleaning and maintenance entities,
En_30_60_20,30,60,20,,Decontamination laundry buildings,
En_30_60_40,30,60,40,,Laundry buildings,
En_30_60_50,30,60,50,,Maintenance buildings,
En_30_60_94,30,60,94,,Vehicle-cleaning buildings,
En_30_70,30,70,,,Process entities,
En_30_70_13,30,70,13,,Chimney stacks,
