Code,Group,Sub group,Section,Object,Title,NRM
FI_10,10,,,,Communication,
FI_10_03,10,03,,,Agenda (AG),
FI_10_10,10,10,,,Brochure (BL),
FI_10_15,10,15,,,Comment (CT),
FI_10_17,10,17,,,Conversation record (CD),
FI_10_20,10,20,,,Correspondence (CO),
FI_10_27,10,27,,,Email (EM),
FI_10_30,10,30,,,File note (FN),
FI_10_45,10,45,,,Leaflet (LF),
FI_10_46,10,46,,,Letter (LT),
FI_10_50,10,50,,,Memo (ME),
FI_10_55,10,55,,,Minutes (MI),
FI_10_59,10,59,,,Poster (PO),
FI_10_60,10,60,,,Presentation (PP),
FI_10_65,10,65,,,Press release (PE),
FI_10_70,10,70,,,Request (RI),
FI_10_86,10,86,,,Technical query (TQ),
FI_10_88,10,88,,,Transfer note (TN),
FI_10_90,10,90,,,Transmittal (TL),
FI_20,20,,,,Contractual,
FI_20_05,20,05,,,Application (AP),
FI_20_15,20,15,,,Contract (CC),
FI_20_25,20,25,,,Early warning notice (EW),
FI_20_40,20,40,,,Instruction (IN),
FI_20_65,20,65,,,Proposal (PS),
FI_20_70,20,70,,,Requisition (RQ),
FI_20_85,20,85,,,Subcontract order (SO),
FI_20_95,20,95,,,Variation (VA),
FI_30,30,,,,Data,
FI_30_20,30,20,,,Database (DB),
FI_30_22,30,22,,,Data set (DS),
FI_30_40,30,40,,,Information exchange file (IE),
FI_30_70,30,70,,,Room data sheet (RD),
FI_30_80,30,80,,,Schedule of accommodation (SA),
FI_40,40,,,,Design,
FI_40_10,40,10,,,Calculations (CA),
FI_40_78,40,78,,,Scope of works (SW),
FI_40_80,40,80,,,Specification (SP),
FI_50,50,,,,Financial,
FI_50_10,50,10,,,Bill of quantities (BQ),
FI_50_15,50,15,,,Cost plan (CP),
FI_50_27,50,27,,,Estimate (ES),
FI_50_40,50,40,,,Invoice (IV),
FI_50_69,50,69,,,Quotation (QN),
FI_60,60,,,,Graphical,
FI_60_05,60,05,,,Animation file (AF),
FI_60_15,60,15,,,Clash rendition (CR),
FI_60_17,60,17,,,Combined model (CM),
FI_60_20,60,20,,,Drawing (DG),
FI_60_25,60,25,,,Drawing rendition (DR),
FI_60_40,60,40,,,Image (IM),
FI_60_50,60,50,,,Model rendition (MR),
FI_60_53,60,53,,,Model – three-dimensional (M3),
FI_60_55,60,55,,,Model – two-dimensional (M2),
FI_60_60,60,60,,,Photograph (PH),
FI_60_76,60,76,,,Schematic (SC),
FI_60_80,60,80,,,Sketch (SK),
FI_60_95,60,95,,,Visualization (VS),
FI_70,70,,,,Official guidance,
FI_70_65,70,65,,,Protocol (PZ),
FI_70_72,70,72,,,Regulation (RN),
FI_70_85,70,85,,,Standard (SD),
FI_80,80,,,,Project planning,
FI_80_50,80,50,,,Method statement (MS),
FI_80_60,80,60,,,Policy (PY),
FI_80_63,80,63,,,Procedure (PC),
FI_80_65,80,65,,,Programme (PR),
FI_80_85,80,85,,,Strategy (SY),
FI_90,90,,,,Record information,
FI_90_13,90,13,,,Certificate (CE),
FI_90_15,90,15,,,Chart (CH),
FI_90_21,90,21,,,Data sheet (DT),
FI_90_23,90,23,,,Diary entry (DE),
FI_90_24,90,24,,,Directory (DY),
FI_90_30,90,30,,,Form (FM),
FI_90_35,90,35,,,Guide (GU),
FI_90_37,90,37,,,Health and safety (HS),
FI_90_45,90,45,,,List (LI),
FI_90_47,90,47,,,Log (LG),
FI_90_50,90,50,,,Manual (MA),
FI_90_52,90,52,,,Matrix (MX),
FI_90_60,90,60,,,Permit (PT),
FI_90_64,90,64,,,Plan (PL),
FI_90_66,90,66,,,Process workflow (PW),
FI_90_70,90,70,,,Register (RG),
FI_90_72,90,72,,,Report (RP),
FI_90_75,90,75,,,Schedule or table (SH),
FI_90_80,90,80,,,Snagging list (SN),
FI_90_83,90,83,,,Study (ST),
FI_90_85,90,85,,,Survey (SU),
FI_90_86,90,86,,,Technology file (TF),
FI_90_87,90,87,,,Test result (TR),
FI_90_88,90,88,,,Template (TE),
FI_90_90,90,90,,,Training record (TG),
FI_90_94,90,94,,,Valuation (VL),
