Code,Group,Sub group,Section,Object,Title,NRM
Ro_10,10,,,,Management roles,
Ro_10_10,10,10,,,Organization roles,
Ro_10_10_05,10,10,05,,Associate,
Ro_10_10_12,10,10,12,,Chairman,
Ro_10_10_14,10,10,14,,Chief executive officer,
Ro_10_10_16,10,10,16,,Chief financial officer,
Ro_10_10_18,10,10,18,,Chief operating officer,
Ro_10_10_20,10,10,20,,Coordinator,
Ro_10_10_25,10,10,25,,Director,
Ro_10_10_30,10,10,30,,Executive director,
Ro_10_10_50,10,10,50,,Manager,
Ro_10_10_53,10,10,53,,Managing director,
Ro_10_10_58,10,10,58,,Non-executive director,
Ro_10_10_60,10,10,60,,Partner,
Ro_10_10_65,10,10,65,,President,
Ro_10_10_70,10,10,70,,Principal,
Ro_10_10_88,10,10,88,,Technician,
Ro_10_10_94,10,10,94,,Vice chairman,
Ro_10_10_95,10,10,95,,Vice president,
Ro_10_20,10,20,,,Client roles,
Ro_10_20_14,10,20,14,,Client (K),
Ro_10_20_15,10,20,15,,Client advisor,
Ro_10_20_16,10,20,16,,Client representative,
Ro_10_20_26,10,20,26,,Employer,
Ro_10_20_88,10,20,88,,Technical advisor,
Ro_10_30,10,30,,,Asset management roles,
Ro_10_30_02,10,30,02,,Asset assurance manager,
Ro_10_30_10,10,30,10,,Built asset security manager,
Ro_10_30_14,10,30,14,,Chief information officer,
Ro_10_30_21,10,30,21,,Asset data governance manager,
Ro_10_30_27,10,30,27,,Education consultant,
Ro_10_30_42,10,30,42,,Investment consultant,
Ro_10_30_50,10,30,50,,Asset manager,
Ro_10_30_78,10,30,78,,Soft landings champion,
Ro_10_30_80,10,30,80,,Asset standards manager,
Ro_10_30_88,10,30,88,,Technology consultant,
Ro_10_40,10,40,,,Operation management roles,
Ro_10_40_01,10,40,01,,Access manager,
Ro_10_40_11,10,40,11,,Catering manager,
Ro_10_40_20,10,40,20,,Configuration change manager,
Ro_10_40_22,10,40,22,,Cost manager,
Ro_10_40_24,10,40,24,,Demand manager,
Ro_10_40_28,10,40,28,,Energy manager,
Ro_10_40_30,10,40,30,,Facilities manager (F),
Ro_10_40_32,10,40,32,,Fleet manager,
Ro_10_40_36,10,40,36,,Health and safety manager,
Ro_10_40_43,10,40,43,,IT business analyst,
Ro_10_40_47,10,40,47,,Legal representative,
Ro_10_40_48,10,40,48,,Logistics manager,
Ro_10_40_49,10,40,49,,Maintenance planner,
Ro_10_40_50,10,40,50,,Maintenance provider,
Ro_10_40_52,10,40,52,,Management consultant,
Ro_10_40_53,10,40,53,,Marketing consultant,
Ro_10_40_65,10,40,65,,Procurement consultant,
Ro_10_40_74,10,40,74,,Safety manager,
Ro_10_40_76,10,40,76,,Security consultant,
Ro_10_40_86,10,40,86,,Timetable assurance coordinator,
Ro_10_40_88,10,40,88,,Traffic consultant,
Ro_10_40_90,10,40,90,,Transportation manager,
Ro_10_80,10,80,,,Support roles,
Ro_10_80_25,10,80,25,,Editor,
Ro_10_80_90,10,80,90,,Technical author,
Ro_30,30,,,,Delivery roles,
Ro_30_10,30,10,,,Delivery team roles,
Ro_30_10_13,30,10,13,,Clerk of works,
Ro_30_10_17,30,10,17,,Commissioning engineer,
Ro_30_10_19,30,10,19,,Contract administrator,
Ro_30_10_20,30,10,20,,Contractor (W),
Ro_30_10_22,30,10,22,,Cost consultant,
Ro_30_10_27,30,10,27,,Employer's agent,
Ro_30_10_36,30,10,36,,Health and safety consultant,
Ro_30_10_42,30,10,42,,Information manager,
Ro_30_10_43,30,10,43,,Insurance consultant,
Ro_30_10_47,30,10,47,,Legal consultant,
Ro_30_10_67,30,10,67,,Project manager,
Ro_30_10_85,30,10,85,,Sub-contractor (X),
Ro_30_30,30,30,,,Official roles,
Ro_30_30_09,30,30,09,,Building control officer,
Ro_30_30_16,30,30,16,,Conservation officer,
Ro_30_30_20,30,30,20,,Development control officer,
Ro_30_30_22,30,30,22,,Dispute resolution officer,
Ro_30_30_26,30,30,26,,Environmental officer,
Ro_30_30_29,30,30,29,,Flood and coastal risk management officer,
Ro_30_30_36,30,30,36,,Heritage officer,
Ro_30_30_60,30,30,60,,Party wall surveyor,
Ro_30_30_65,30,30,65,,Planning officer,
Ro_30_30_67,30,30,67,,Principal contractor,
Ro_30_30_68,30,30,68,,Principal designer,
Ro_30_40,30,40,,,Supplier roles,
Ro_30_40_36,30,40,36,,Hardware vendor,
Ro_30_40_40,30,40,40,,Importer,
Ro_30_40_54,30,40,54,,Manufacturer,
Ro_30_40_56,30,40,56,,Nominated supplier,
Ro_30_40_79,30,40,79,,Software vendor,
Ro_30_40_86,30,40,86,,Supplier,
Ro_30_50,30,50,,,Team lead roles,
Ro_30_50_04,30,50,04,,Asset management lead,
Ro_30_50_19,30,50,19,,Construction lead,
Ro_30_50_25,30,50,25,,Design lead,
Ro_30_50_61,30,50,61,,Operation lead,
Ro_30_50_69,30,50,69,,Programme lead,
Ro_30_50_70,30,50,70,,Project lead,
Ro_30_50_90,30,50,90,,Task team lead,
Ro_50,50,,,,Design roles,
Ro_50_10,50,10,,,Building design roles,
Ro_50_10_01,50,10,01,,Access consultant,
Ro_50_10_03,50,10,03,,Architect (A),
Ro_50_10_04,50,10,04,,Architectural designer,
Ro_50_10_05,50,10,05,,Architectural technologist,
Ro_50_10_10,50,10,10,,Building designer,
Ro_50_10_11,50,10,11,,Catering consultant,
Ro_50_10_14,50,10,14,,Cladding designer,
Ro_50_10_30,50,10,30,,"Fittings, furniture and equipment (FF&E) consultant",
Ro_50_10_43,50,10,43,,Interior designer (I),
Ro_50_10_45,50,10,45,,Kitchen designer,
Ro_50_10_50,50,10,50,,Lighting designer,
Ro_50_10_80,50,10,80,,Signage designer,
Ro_50_20,50,20,,,Engineering design roles,
Ro_50_20_02,50,20,02,,Acoustic engineer,
Ro_50_20_04,50,20,04,,Audiovisual consultant,
Ro_50_20_06,50,20,06,,Bridge engineer,
Ro_50_20_08,50,20,08,,Building services engineer,
Ro_50_20_11,50,20,11,,Civil engineer (C),
Ro_50_20_24,50,20,24,,Demolition engineer,
Ro_50_20_28,50,20,28,,Drainage engineer (D),
Ro_50_20_30,50,20,30,,Electrical services engineer (E),
Ro_50_20_31,50,20,31,,Electronics engineer,
Ro_50_20_33,50,20,33,,Fire engineer,
Ro_50_20_37,50,20,37,,Geotechnical engineer,
Ro_50_20_40,50,20,40,,"Heating, ventilation and air conditioning engineer (H)",
Ro_50_20_41,50,20,41,,Highways engineer (D),
Ro_50_20_42,50,20,42,,Hydraulic engineer,
Ro_50_20_53,50,20,53,,"Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",
Ro_50_20_54,50,20,54,,Mechanical services engineer (M),
Ro_50_20_59,50,20,59,,Overhead wires engineer,
Ro_50_20_65,50,20,65,,Process engineer,
Ro_50_20_68,50,20,68,,Public health engineer (P),
Ro_50_20_70,50,20,70,,Rail engineer,
Ro_50_20_72,50,20,72,,Reliability engineer,
Ro_50_20_74,50,20,74,,Rolling stock engineer,
Ro_50_20_79,50,20,79,,Signalling engineer,
Ro_50_20_83,50,20,83,,Structural engineer (S),
Ro_50_20_86,50,20,86,,Systems engineer,
Ro_50_20_88,50,20,88,,Telecommunication engineer,
Ro_50_20_90,50,20,90,,Traffic engineer,
Ro_50_20_91,50,20,91,,Tunnel engineer,
Ro_50_20_96,50,20,96,,Water services engineer,
Ro_50_30,50,30,,,Environmental design roles,
Ro_50_30_04,50,30,04,,Arboriculturalist,
Ro_50_30_25,50,30,25,,Ecologist,
Ro_50_30_33,50,30,33,,Garden designer,
Ro_50_30_47,50,30,47,,Landscape architect (L),
Ro_50_30_48,50,30,48,,Landscape designer,
Ro_50_30_94,50,30,94,,Urban designer (T),
Ro_70,70,,,,Site roles,
Ro_70_10,70,10,,,Surveyor and planner roles,
Ro_70_10_10,70,10,10,,Building inspector,
Ro_70_10_11,70,10,11,,Building surveyor (B),
Ro_70_10_16,70,10,16,,Conservation surveyor,
Ro_70_10_33,70,10,33,,Geotechnical surveyor (G),
Ro_70_10_36,70,10,36,,Heritage surveyor,
Ro_70_10_46,70,10,46,,Land surveyor (G),
Ro_70_10_64,70,10,64,,Planning consultant,
Ro_70_10_75,70,10,75,,Quantity surveyor (Q),
Ro_70_10_80,70,10,80,,Site investigation consultant,
Ro_70_10_93,70,10,93,,Utilities surveyor,
Ro_70_30,70,30,,,Environmental and geological roles,
Ro_70_30_04,70,30,04,,Archaeologist,
Ro_70_30_27,70,30,27,,Environmental assessor,
Ro_70_30_28,70,30,28,,Environmental consultant,
Ro_70_30_35,70,30,35,,Geographic information system consultant,
Ro_70_30_39,70,30,39,,Hydrologist,
Ro_70_30_85,70,30,85,,Sustainability consultant,
Ro_70_30_94,70,30,94,,Visual impact assessor,
Ro_70_40,70,40,,,Conservation and restoration roles,
Ro_70_40_16,70,40,16,,Conservator,
Ro_70_40_71,70,40,71,,Restorer,
Ro_70_50,70,50,,,Building trades,
Ro_70_50_02,70,50,02,,Access floor installer,
Ro_70_50_07,70,50,07,,Bricklayer,
Ro_70_50_09,70,50,09,,Builder's labourer,
