Code,Group,Sub group,Section,Object,Title,NRM
SL_20,20,,,,"Administrative, commercial and protective service spaces",
SL_20_10,20,10,,,Legislative spaces,
SL_20_10_47,20,10,47,,Legislative chambers,
SL_20_10_49,20,10,49,,Legislative chamber viewing galleries,
SL_20_15,20,15,,,Administrative spaces,
SL_20_15_15,20,15,15,,Confidential meetings rooms,
SL_20_15_27,20,15,27,,Enclosed offices,
SL_20_15_50,20,15,50,,Meeting rooms,
SL_20_15_59,20,15,59,,Offices,
SL_20_15_61,20,15,61,,Open-plan offices,
SL_20_15_71,20,15,71,,Reception areas,
SL_20_15_73,20,15,73,,Reprographics rooms,
SL_20_45,20,45,,,Motor vehicle maintenance and fuelling spaces,
SL_20_45_27,20,45,27,,Electric motor vehicle charging points,
SL_20_45_29,20,45,29,,Fuel filling station air and water points,
SL_20_45_30,20,45,30,,Fuel filling station forecourts,
SL_20_45_31,20,45,31,,Fuel filling station tanks areas,
SL_20_45_53,20,45,53,,Motor vehicle maintenance areas,
SL_20_45_95,20,45,95,,Vehicle inspection pits,
SL_20_45_96,20,45,96,,Vehicle servicing areas,
SL_20_50,20,50,,,Commercial spaces,
SL_20_50_03,20,50,03,,Ambient wholesale spaces,
SL_20_50_05,20,50,05,,Auction rooms,
SL_20_50_10,20,50,10,,Beauty salons,
SL_20_50_12,20,50,12,,Checkout points,
SL_20_50_22,20,50,22,,Department store shop floors,
SL_20_50_29,20,50,29,,Financial and professional services outlets,
SL_20_50_30,20,50,30,,Fitting rooms,
SL_20_50_32,20,50,32,,Food and drink outlets,
SL_20_50_36,20,50,36,,Hair and beauty salons,
SL_20_50_37,20,50,37,,Hair salons,
SL_20_50_47,20,50,47,,Livestock auction rooms,
SL_20_50_51,20,50,51,,Market stalls,
SL_20_50_55,20,50,55,,Motor vehicle showrooms,
SL_20_50_70,20,50,70,,Refrigerated wholesale spaces,
SL_20_50_72,20,50,72,,Retail kiosks,
SL_20_50_85,20,50,85,,Supermarket shop floors,
