Code,Group,Sub group,Section,Object,Title,NRM
Zz_10,10,,,,Title sheet,
Zz_10_20,10,20,,,Drawing frame,
Zz_10_20_45,10,20,45,,Logo,
Zz_10_20_95,10,20,95,,Viewports,
Zz_10_40,10,40,,,Hold clouds and notation,
Zz_10_70,10,70,,,Revisions,
Zz_10_70_05,10,70,05,,Annotation,
Zz_10_70_10,10,70,10,,Blocks and cells,
Zz_10_70_20,10,70,20,,Clouds and notations,
Zz_10_80,10,80,,,Status stamps,
Zz_20,20,,,,Textual content,
Zz_20_10,20,10,,,Annotation,
Zz_20_10_40,20,10,40,,Keynotes,
Zz_20_10_45,20,10,45,,Labels,
Zz_20_10_50,20,10,50,,Leaders,
Zz_20_10_55,20,10,55,,Notes,
Zz_20_10_70,20,10,70,,Reference,
Zz_20_10_85,20,10,85,,Tags,
Zz_20_10_90,20,10,90,,Text,
Zz_20_20,20,20,,,Dimensions,
Zz_20_30,20,30,,,General masking,
Zz_20_30_50,20,30,50,,Masks,
Zz_20_30_95,20,30,95,,Wipeouts,
Zz_20_40,20,40,,,Hatching,
Zz_20_40_05,20,40,05,,Area fill,
Zz_20_40_35,20,40,35,,Hatch boundaries,
Zz_20_40_60,20,40,60,,Pattern,
Zz_20_40_80,20,40,80,,Solid fill,
Zz_20_70,20,70,,,Redlining,
Zz_20_70_20,20,70,20,,Comments,
Zz_20_80,20,80,,,Symbols,
Zz_20_80_10,20,80,10,,Barscales,
Zz_20_80_15,20,80,15,,Cross references,
Zz_20_80_40,20,80,40,,Key plan,
Zz_20_80_50,20,80,50,,Legends,
Zz_20_80_55,20,80,55,,North point,
Zz_20_90,20,90,,,Title annotation,
Zz_30,30,,,,Insertions,
Zz_30_20,30,20,,,Blocks and cells,
Zz_30_30,30,30,,,External references,
Zz_30_40,30,40,,,Images,
Zz_30_60,30,60,,,Objects,
Zz_30_90,30,90,,,Tables and schedules,
Zz_35,35,,,,Setting out,
Zz_35_10,35,10,,,Alignments and super elevations,
Zz_35_10_40,35,10,40,,Horizontal alignment,
Zz_35_10_80,35,10,80,,Super elevation,
Zz_35_10_90,35,10,90,,Vertical alignment,
Zz_35_20,35,20,,,Centrelines,
Zz_35_30,35,30,,,Geospatial control points,
Zz_35_40,35,40,,,Gridlines,
Zz_35_40_20,35,40,20,,Ceiling grid,
Zz_35_40_80,35,40,80,,Structural grid,
Zz_35_60,35,60,,,Points,
Zz_35_80,35,80,,,Survey control points,
Zz_35_80_55,35,80,55,,Bench mark,
Zz_35_80_60,35,80,60,,Trigonometrical station,
Zz_35_80_80,35,80,80,,Site bench mark,
Zz_35_80_85,35,80,85,,Site survey control station,
Zz_35_80_90,35,80,90,,Temporary bench mark,
Zz_40,40,,,,Topography,
Zz_40_15,40,15,,,Contours,
Zz_40_15_50,40,15,50,,Major contours,
Zz_40_15_55,40,15,55,,Minor contours,
Zz_40_20,40,20,,,Cuttings and embankment indicators,
Zz_40_50,40,50,,,Level indicators,
Zz_50,50,,,,Zones and boundaries,
Zz_50_10,50,10,,,Boundaries,
Zz_50_10_10,50,10,10,,Blue line boundary,
Zz_50_10_70,50,10,70,,Red line boundary,
Zz_50_50,50,50,,,Lots,
Zz_50_60,50,60,,,Parcels,
Zz_50_90,50,90,,,Volumes,
Zz_50_95,50,95,,,Zones,
Zz_60,60,,,,Drawing symbols,
Zz_60_20,60,20,,,Detail call ups,
Zz_60_30,60,30,,,Fall indicators,
Zz_60_40,60,40,,,Joint lines,
Zz_60_40_15,60,40,15,,Construction joints,
Zz_60_40_20,60,40,20,,Contraction joints,
Zz_60_40_30,60,40,30,,Expansion joints,
